Year,Group,Value,,,,No data,,
,,,,,,Employer-Based & Direct-Purchase Health Insurance,0,0.00%
,,,,,,Employer-Based Health & Medicare Insurance,"1,732",2.70%
,,,,,,Direct-Purchase Health & Medicare Insurance,720,1.10%
,,,,,,Medicare & Medicaid Coverage,154,0.20%
,,,,,,Other Private Health Insurance Combos,0,0.00%
,,,,,,Other Public Health Insurance Combos,21,0.00%
,,,,,,Other Health Insurance Combinations,"1,212",1.90%
,,,,,,No Health Insurance Coverage,0,0.00%
,,,,,,,,
,,,,,,HOUSEHOLDS BY OTHER INCOME,,
,,,,,,Social Security Income,"3,872",16.50%
,,,,,,No Social Security Income,"19,628",83.50%
,,,,,,Retirement Income,"3,093",13.20%
,,,,,,No Retirement Income,"20,407",86.80%
,,,,,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN,,
,,,,,,THE PAST 12 MONTHS,,
,,,,,,<10% of Income,386,3.00%
,,,,,,10-14.9% of Income,731,5.70%
,,,,,,15-19.9% of Income,"1,125",8.80%
,,,,,,20-24.9% of Income,"1,321",10.30%
,,,,,,25-29.9% of Income,"1,196",9.40%
,,,,,,30-34.9% of Income,673,5.30%
,,,,,,35-39.9% of Income,591,4.60%
,,,,,,40-49.9% of Income,"1,102",8.60%
,,,,,,50+% of Income,"4,149",32.50%
,,,,,,Gross Rent % Inc Not Computed,"1,500",11.70%
,,,,,,HOUSEHOLDS BY PUBLIC ASSISTANCE INCOME IN THE PAST,,
,,,,,,12 MONTHS,,
,,,,,,Total,"23,500",100.00%
,,,,,,With public assistance income,121,0.50%
,,,,,,No public assistance income,"23,379",99.50%
,,,,,,HOUSEHOLDS BY FOOD STAMPS/SNAP STATUS,,
,,,,,,Total,"23,500",100.00%
,,,,,,With Food Stamps/SNAP,"1,706",7.30%
,,,,,,With No Food Stamps/SNAP,"21,794",92.70%
,,,,,,HOUSEHOLDS BY DISABILITY STATUS,,
,,,,,,Total,"23,500",100.00%
,,,,,,With 1+ Persons w/Disability,"3,512",14.90%
,,,,,,With No Person w/Disability,"19,988",85.10%
