Year,Health Coverage,Gender,Health Insurance by Gender and Age,Value
2016,Medicare,Under 18 Years,0,0
2016,Medicare,18 to 34 Years,167,4.850421144
2016,Medicare,35 to 64 Years,294,8.539064769
2016,Medicare,65 Years & Over,2982,86.61051409
2016,Employer,Under 18 Years,6633,18.09921415
2016,Employer,18 to 34 Years,19167,52.30026195
2016,Employer,35 to 64 Years,10655,29.07389216
2016,Employer,65 Years & Over,193,0.52663174
2016,OtherPublic,Under 18 Years,223,20.89971884
2016,OtherPublic,18 to 34 Years,539,50.51546392
2016,OtherPublic,35 to 64 Years,278,26.05435801
2016,OtherPublic,65 Years & Over,27,2.530459231
2016,NonGroup,Under 18 Years,1472,13.32488458
2016,NonGroup,18 to 34 Years,6592,59.67230922
2016,NonGroup,35 to 64 Years,2004,18.14067168
2016,NonGroup,65 Years & Over,979,8.862134516
2016,Uninsured,Under 18 Years,96,2.465964552
2016,Uninsured,18 to 34 Years,2797,71.8469047
2016,Uninsured,35 to 64 Years,982,25.22476239
2016,Uninsured,65 Years & Over,18,0.462368353
2017,Private,Male,25893,49.6110515
2017,Private,Female,26299,50.3889485
2017,Public,Male,4882,45.50708427
2017,Public,Female,5846,54.49291573
2017,Medicaid,Under 18 Years,2909,68.88467914
2017,Medicaid,18 to 34 Years,480,11.36632726
2017,Medicaid,35 to 64 Years,667,15.79445892
2017,Medicaid,65 Years & Over,167,3.954534691
2017,Medicare,Under 18 Years,0,0
2017,Medicare,18 to 34 Years,95,2.624309392
2017,Medicare,35 to 64 Years,285,7.872928177
2017,Medicare,65 Years & Over,3240,89.50276243
2017,Employer,Under 18 Years,8177,22.20442079
2017,Employer,18 to 34 Years,17462,47.4175854
2017,Employer,35 to 64 Years,11001,29.87291587
2017,Employer,65 Years & Over,186,0.505077934
2017,OtherPublic,Under 18 Years,226,23.64016736
2017,OtherPublic,18 to 34 Years,425,44.45606695
2017,OtherPublic,35 to 64 Years,274,28.66108787
2017,OtherPublic,65 Years & Over,31,3.242677824
2017,NonGroup,Under 18 Years,2550,21.48816044
2017,NonGroup,18 to 34 Years,6006,50.6109379
2017,NonGroup,35 to 64 Years,2188,18.43768433
2017,NonGroup,65 Years & Over,1123,9.463217325
2017,Uninsured,Under 18 Years,212,5.639797819
2017,Uninsured,18 to 34 Years,2556,67.99680766
2017,Uninsured,35 to 64 Years,977,25.99095504
2017,Uninsured,65 Years & Over,14,0.372439479
2018,Private,Male,26579,49.43642586
2018,Private,Female,27185,50.56357414
2018,Public,Male,4977,45.31961391
2018,Public,Female,6005,54.68038609
2018,Medicaid,Under 18 Years,2770,62.17732884
2018,Medicaid,18 to 34 Years,685,15.37598204
2018,Medicaid,35 to 64 Years,829,18.60830527
2018,Medicaid,65 Years & Over,171,3.838383838
2018,Medicare,Under 18 Years,0,0
2018,Medicare,18 to 34 Years,106,2.987598647
2018,Medicare,35 to 64 Years,375,10.56933484
2018,Medicare,65 Years & Over,3067,86.44306652
2018,Employer,Under 18 Years,8478,21.93929043
2018,Employer,18 to 34 Years,18339,47.45749554
2018,Employer,35 to 64 Years,11686,30.24092332
2018,Employer,65 Years & Over,140,0.362290712
2018,OtherPublic,Under 18 Years,276,23.4295416
2018,OtherPublic,18 to 34 Years,519,44.05772496
2018,OtherPublic,35 to 64 Years,356,30.22071307
2018,OtherPublic,65 Years & Over,27,2.292020374
2018,NonGroup,Under 18 Years,2536,21.52253246
2018,NonGroup,18 to 34 Years,5801,49.23194433
2018,NonGroup,35 to 64 Years,2201,18.67945345
2018,NonGroup,65 Years & Over,1245,10.56606976
2018,Uninsured,Under 18 Years,150,4.725897921
2018,Uninsured,18 to 34 Years,2044,64.39823566
2018,Uninsured,35 to 64 Years,980,30.87586641
2018,Uninsured,65 Years & Over,0,0
2019,Private,Male,27445,49.84200203
2019,Private,Female,27619,50.15799797
2019,Public,Male,5159,47.39549839
2019,Public,Female,5726,52.60450161
2019,Medicaid,Under 18 Years,2322,59.96900826
2019,Medicaid,18 to 34 Years,748,19.31818182
2019,Medicaid,35 to 64 Years,648,16.73553719
2019,Medicaid,65 Years & Over,154,3.977272727
2019,Medicare,Under 18 Years,4,0.102145046
2019,Medicare,18 to 34 Years,101,2.579162411
2019,Medicare,35 to 64 Years,290,7.405515832
2019,Medicare,65 Years & Over,3521,89.91317671
2019,Employer,Under 18 Years,9079,23.00927569
2019,Employer,18 to 34 Years,18175,46.06163516
2019,Employer,35 to 64 Years,12058,30.55907547
2019,Employer,65 Years & Over,146,0.370013685
2019,OtherPublic,Under 18 Years,199,15.00754148
2019,OtherPublic,18 to 34 Years,617,46.53092006
2019,OtherPublic,35 to 64 Years,489,36.87782805
2019,OtherPublic,65 Years & Over,21,1.583710407
2019,NonGroup,Under 18 Years,2659,22.40478598
2019,NonGroup,18 to 34 Years,5453,45.9470846
2019,NonGroup,35 to 64 Years,2499,21.05662285
2019,NonGroup,65 Years & Over,1257,10.59150657
2019,Uninsured,Under 18 Years,196,5.746115509
2019,Uninsured,18 to 34 Years,2045,59.95309293
2019,Uninsured,35 to 64 Years,1170,34.30079156
2019,Uninsured,65 Years & Over,0,0
2020,Private,Male,28227,49.43952079
2020,Private,Female,28867,50.56047921
2020,Public,Male,4921,47.86033846
2020,Public,Female,5361,52.13966154
2020,Medicaid,Under 18 Years,1704,55.55917835
2020,Medicaid,18 to 34 Years,936,30.51842191
2020,Medicaid,35 to 64 Years,371,12.09651125
2020,Medicaid,65 Years & Over,56,1.82588849
2020,Medicare,Under 18 Years,15,0.405844156
2020,Medicare,18 to 34 Years,7,0.189393939
2020,Medicare,35 to 64 Years,402,10.87662338
2020,Medicare,65 Years & Over,3272,88.52813853
2020,Employer,Under 18 Years,10227,24.67369538
2020,Employer,18 to 34 Years,17614,42.495597
2020,Employer,35 to 64 Years,13389,32.30234746
2020,Employer,65 Years & Over,219,0.528360153
2020,OtherPublic,Under 18 Years,253,16.41791045
2020,OtherPublic,18 to 34 Years,579,37.57300454
2020,OtherPublic,35 to 64 Years,681,44.19208306
2020,OtherPublic,65 Years & Over,28,1.817001947
2020,NonGroup,Under 18 Years,2209,18.75849185
2020,NonGroup,18 to 34 Years,5552,47.14673913
2020,NonGroup,35 to 64 Years,2147,18.23199728
2020,NonGroup,65 Years & Over,1868,15.86277174
2020,Uninsured,Under 18 Years,205,5.533063428
2020,Uninsured,18 to 34 Years,2303,62.15924426
2020,Uninsured,35 to 64 Years,1197,32.30769231
2020,Uninsured,65 Years & Over,0,0
