Year,Age,Gender,Race,Education Attainment,Employment Status,Units,Value
2014,,,,Bachelor's Degree or Higher,,Percent,3.2
2014,,,,,,Percent,22.7
2014,,,,,Employed (full-time),Percent,0.4
2014,,,,,Worked less than full time,Percent,29.6
2014,,,,,Unemployed,Percent,43.2
2015,,,,,,Percent,19.8
2015,Under 18 years,,,,,Percent,10.5
2015,18 to 64 years,,,,,Percent,24.1
2015,65 years and over,,,,,Percent,1.7
2015,,,,,,Percent,19.8
2015,,Male,,,,Percent,19.1
2015,,Female,,,,Percent,20.4
2015,,,,,,Percent,19.8
2015,,,White,,,Percent,20.3
2015,,,Black or African American,,,Percent,22.6
2015,,,American Indian and Alaska Native,,,Percent,61.9
2015,,,Asian,,,Percent,10
2015,,,Hispanic or Latino origin (any race),,,Percent,8.6
2015,,,,,,Percent,5.5
2015,,,,Less than High School,,Percent,17.2
2015,,,,High School Graduate,,Percent,5.3
2015,,,,Some College or Associate degree,,Percent,6.5
2015,,,,Bachelor's Degree or Higher,,Percent,4.2
2015,,,,,,Percent,23.6
2015,,,,,Employed (full-time),Percent,0.5
2015,,,,,Worked less than full time,Percent,31.6
2015,,,,,Unemployed,Percent,44
2016,,,,,,Percent,19.2
2016,Under 18 years,,,,,Percent,10.6
2016,18 to 64 years,,,,,Percent,23.4
2016,65 years and over,,,,,Percent,1.6
2016,,,,,,Percent,19.2
2016,,Male,,,,Percent,19.2
2016,,Female,,,,Percent,19.2
2016,,,,,,Percent,19.2
2016,,,White,,,Percent,19.4
2016,,,Black or African American,,,Percent,21.8
2016,,,American Indian and Alaska Native,,,Percent,82
2016,,,Asian,,,Percent,13
2016,,,Hispanic or Latino origin (any race),,,Percent,4
2016,,,,,,Percent,5.5
2016,,,,Less than High School,,Percent,18.1
2016,,,,High School Graduate,,Percent,5.7
2016,,,,Some College or Associate degree,,Percent,6
2016,,,,Bachelor's Degree or Higher,,Percent,3.9
2016,,,,,,Percent,23
2016,,,,,Employed (full-time),Percent,1
2016,,,,,Worked less than full time,Percent,30.1
2016,,,,,Unemployed,Percent,44.2
2017,,,,,,Percent,19.6
2017,Under 18 years,,,,,Percent,12.4
2017,18 to 64 years,,,,,Percent,23.8
2017,65 years and over,,,,,Percent,1.5
2017,,,,,,Percent,19.6
2017,,Male,,,,Percent,19.3
2017,,Female,,,,Percent,20
2017,,,,,,Percent,19.6
2017,,,White,,,Percent,19.5
2017,,,Black or African American,,,Percent,23.9
2017,,,American Indian and Alaska Native,,,Percent,23.4
2017,,,Asian,,,Percent,12.7
2017,,,Hispanic or Latino origin (any race),,,Percent,4.5
2017,,,,,,Percent,6.2
2017,,,,Less than High School,,Percent,19
2017,,,,High School Graduate,,Percent,6.7
2017,,,,Some College or Associate degree,,Percent,7.5
2017,,,,Bachelor's Degree or Higher,,Percent,4.2
2017,,,,,,Percent,23.3
2017,,,,,Employed (full-time),Percent,1.2
2017,,,,,Worked less than full time,Percent,31.8
2017,,,,,Unemployed,Percent,44
2018,,,,,,Percent,19.5
2018,Under 18 years,,,,,Percent,11.6
2018,18 to 64 years,,,,,Percent,23.7
2018,65 years and over,,,,,Percent,1.5
2018,,,,,,Percent,19.5
2018,,Male,,,,Percent,19.7
2018,,Female,,,,Percent,19.3
2018,,,,,,Percent,19.5
2018,,,White,,,Percent,19.1
2018,,,Black or African American,,,Percent,24.8
2018,,,American Indian and Alaska Native,,,Percent,22.4
2018,,,Asian,,,Percent,10.1
2018,,,Hispanic or Latino origin (any race),,,Percent,6.6
2018,,,,,,Percent,6.2
2018,,,,Less than High School,,Percent,21.8
2018,,,,High School Graduate,,Percent,6
2018,,,,Some College or Associate degree,,Percent,7.3
2018,,,,Bachelor's Degree or Higher,,Percent,4.3
2018,,,,,,Percent,23.4
2018,,,,,Employed (full-time),Percent,1.1
2018,,,,,Worked less than full time,Percent,32.5
2018,,,,,Unemployed,Percent,45.9
2019,,,,,,Percent,18.5
2019,Under 18 years,,,,,Percent,10.2
2019,18 to 64 years,,,,,Percent,22.7
2019,65 years and over,,,,,Percent,2.7
2019,,,,,,Percent,18.5
2019,,Male,,,,Percent,18.1
2019,,Female,,,,Percent,18.9
2019,,,,,,Percent,18.5
2019,,,White,,,Percent,18.1
2019,,,Black or African American,,,Percent,23
2019,,,American Indian and Alaska Native,,,Percent,22.4
2019,,,Asian,,,Percent,9.4
2019,,,Hispanic or Latino origin (any race),,,Percent,7.9
2019,,,,,,Percent,5.8
2019,,,,Less than High School,,Percent,17
2019,,,,High School Graduate,,Percent,5.4
2019,,,,Some College or Associate degree,,Percent,7.7
2019,,,,Bachelor's Degree or Higher,,Percent,4
2019,,,,,,Percent,22.2
2019,,,,,Employed (full-time),Percent,1.3
2019,,,,,Worked less than full time,Percent,30.4
2019,,,,,Unemployed,Percent,45.3
2020,,,,,,Percent,17.2
2020,Under 18 years,,,,,Percent,7.4
2020,18 to 64 years,,,,,Percent,21.4
2020,65 years and over,,,,,Percent,5.5
2020,,,,,,Percent,17.2
2020,,Male,,,,Percent,16.7
2020,,Female,,,,Percent,17.7
2020,,,,,,Percent,17.2
2020,,,White,,,Percent,17.8
2020,,,Black or African American,,,Percent,18
2020,,,American Indian and Alaska Native,,,Percent,13.2
2020,,,Asian,,,Percent,8.2
2020,,,Hispanic or Latino origin (any race),,,Percent,16.7
2020,,,,,,Percent,6.5
2020,,,,Less than High School,,Percent,12.1
2020,,,,High School Graduate,,Percent,8.1
2020,,,,Some College or Associate degree,,Percent,11.5
2020,,,,Bachelor's Degree or Higher,,Percent,3.7
2020,,,,,,Percent,21.1
2020,,,,,Employed (full-time),Percent,1.7
2020,,,,,Worked less than full time,Percent,29.1
2020,,,,,Unemployed,Percent,43.6
2021,,,,,,Percent,16.7
2021,Under 18 years,,,,,Percent,8.9
2021,18 to 64 years,,,,,Percent,20.8
2021,65 years and over,,,,,Percent,4.3
2021,,,,,,Percent,16.7
2021,,Male,,,,Percent,16
2021,,Female,,,,Percent,17.4
2021,,,,,,Percent,16.7
2021,,,White,,,Percent,16.9
2021,,,Black or African American,,,Percent,19.1
2021,,,American Indian and Alaska Native,,,Percent,9.8
2021,,,Asian,,,Percent,6.8
2021,,,Hispanic or Latino origin (any race),,,Percent,17.8
2021,,,,,,Percent,7.1
2021,,,,Less than High School,,Percent,9
2021,,,,High School Graduate,,Percent,7.4
2021,,,,Some College or Associate degree,,Percent,15.6
2021,,,,Bachelor's Degree or Higher,,Percent,3.6
2021,,,,,,Percent,20.4
2021,,,,,Employed (full-time),Percent,1.5
2021,,,,,Worked less than full time,Percent,28.8
2021,,,,,Unemployed,Percent,43
